id,title,wikipedia_url,birth_date,death_date,influenced_by,influenced,period_life,school_teaching
765746,"Вишев, Игорь Владимирович",https://ru.wikipedia.org/wiki/Вишев%2C_Игорь_Владимирович,5 мая 1933(1933-05-05),6 июня 2024(2024-06-06) (91 год),Н. Ф. Фёдоров,,Философия XX века /Философия XXI века,Иммортология
766276,"Нагель, Эрнест",https://ru.wikipedia.org/wiki/Нагель%2C_Эрнест,16 ноября 1901(1901-11-16)[1][2][…],20 сентября 1985(1985-09-20)[1][2][…] (83 года),"Коэн, Моррис Рафаэль",,,
770342,"Кампер, Дитмар",https://ru.wikipedia.org/wiki/Кампер%2C_Дитмар,5 октября 1936(1936-10-05),28 октября 2001(2001-10-28) (65 лет),,,,
784014,"Ноговицын, Олег Михайлович",https://ru.wikipedia.org/wiki/Ноговицын%2C_Олег_Михайлович,8 апреля 1955(1955-04-08),1 августа 2019(2019-08-01) (64 года),"Платон, Аристотель,  Кант, Фихте, Гегель, Хайдеггер","Никита Олегович Ноговицын, Игорь Николаевич Зайцев, Игорь Данилов, Булат Гатиятуллин, Александр Стекольников",Философия XX века,Неоаристотелизм
786502,"Мюллер, Георг Элиас",https://ru.wikipedia.org/wiki/Мюллер%2C_Георг_Элиас,20 июля 1850(1850-07-20)[1][2][…],23 декабря 1934(1934-12-23)[3][1][…] (84 года),,,,
788271,"Ипполит, Жан",https://ru.wikipedia.org/wiki/Ипполит%2C_Жан,8 января 1907(1907-01-08),27 октября 1968(1968-10-27) (61 год),"Жан Кавайес[вд], Карл Маркс и Георг Вильгельм Фридрих Гегель",,,
791631,"Гончарук, Сергей Иванович",https://ru.wikipedia.org/wiki/Гончарук%2C_Сергей_Иванович,4 ноября 1923(1923-11-04),7 июня 2012(2012-06-07) (88 лет),,,Философия XX века,
792329,"Альтюссер, Луи",https://ru.wikipedia.org/wiki/Альтюссер%2C_Луи,16 октября 1918(1918-10-16),22 октября 1990(1990-10-22) (72 года),"Макиавелли, Спиноза, Монтескьё, Руссо, Гегель, Маркс, Дюркгейм, Фрейд, Ленин, Грамши, Мао Цзэдун, Жан Кавайес, Мерло-Понти, Башляр, Жорж Кангилем, Леви-Стросс, Лакан","Фуко, Бурдьё, Деррида, Делёз, Бадью, Лакан, Жак Рансьер, Этьен Балибар, Режи Дебре, Мишель Пешё, Ален Кривин, Жак-Ален Миллер, Никос Пуланзас, Марта Харнеккер, Энтони Гидденс, Фредрик Джеймисон, Стюарт Холл и Бирмингемская школа культурных исследований, Рой Бхаскар, Эрик Олин Райт, Йоран Терборн, Терри Иглтон, Мануэль Кастельс, Стивен Резник, Школа регуляции, Славой Жижек, Младен Долар, Люблянская школа психоанализа, Джудит Батлер, Эрнесто Лакло, Шанталь Муфф, Эссекская школа, Антонио Негри, Паоло Вирно",философия XX века,"марксизм, структурализм, структуралистский марксизм"
792580,Алишер Навои,https://ru.wikipedia.org/wiki/Алишер_Навои,9 февраля 1441[1],3 января 1501[2][1] (59 лет),,,,
796067,"Лурье, Осип Давидович",https://ru.wikipedia.org/wiki/Лурье%2C_Осип_Давидович,28 января 1868(1868-01-28),1955(1955),,,,
796068,"Лурье, Семён Владимирович",https://ru.wikipedia.org/wiki/Лурье%2C_Семён_Владимирович,,,,,,
